title,studio,domestic_gross,foreign_gross,grand_total_gross,year
Rock of Ages,WB (NL),38500000,20900000,59400000,2012
The Spy Next Door,LGF,24300000,20900000,45200000,2010
I Don't Know How She Does It,Wein.,9700000,20900000,30600000,2011
That's My Boy,Sony,36900000,20800000,57700000,2012
The 15:17 to Paris,WB,36300000,20800000,57100000,2018
71 Into the Fire,JS,177000,20800000,20977000,2010
Logan Lucky,BST,27800000,20700000,48500000,2017
Room,A24,14700000,20700000,35400000,2015
Jersey Boys,WB,47000000,20600000,67600000,2014
As Above/So Below,Uni.,21300000,20600000,41900000,2014
This Is 40,Uni.,67500000,20500000,88000000,2012
My Week with Marilyn,Wein.,14600000,20500000,35100000,2011
The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,14800000,20300000,35100000,2018
Yves Saint Laurent,Wein.,724000,20300000,21024000,2014
The Gallows,WB (NL),22800000,20200000,43000000,2015
Polisse,IFC,211000,20200000,20411000,2012
El Clan,FIP,201000,20200000,20401000,2016
A Haunted House,ORF,40000000,20100000,60100000,2013
The World's End,Focus,26000000,20100000,46100000,2013
Overlord,Par.,21700000,20000000,41700000,2018
Biutiful,RAtt.,5100000,20000000,25100000,2011
Jobs,ORF,16100000,19800000,35900000,2013
Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000,19700000,72400000,2011
Inside Llewyn Davis,CBS,13200000,19700000,32900000,2013
Nocturnal Animals,Focus,10700000,19600000,30300000,2016
"Like Father, Like Son (2014)",IFC,335000,19600000,19935000,2014
Solomon Kane,RTWC,,19600000,19600000,2012
Ride Along,Uni.,134900000,19500000,154400000,2014
Diary of a Wimpy Kid: The Long Haul,Fox,20700000,19400000,40100000,2017
Delivery Man,BV,30700000,19300000,50000000,2013
Sword Art Online: The Movie - Ordinal Scale,Elev.,1500000,19200000,20700000,2017
Boyhood,IFC,25400000,19100000,44500000,2014
Chernobyl Diaries,WB,18100000,19000000,37100000,2012
A Most Wanted Man,RAtt.,17200000,19000000,36200000,2014
Mandela: Long Walk to Freedom,Wein.,8300000,19000000,27300000,2013
Krampus,Uni.,42700000,18800000,61500000,2015
Patriots Day,LGF,31900000,18700000,50600000,2016
"I Love You, Phillip Morris",RAtt.,2000000,18700000,20700000,2010
Furry Vengeance,Sum.,17600000,18600000,36200000,2010
How Do You Know,Sony,30200000,18500000,48700000,2010
Winter's Tale,WB,12600000,18500000,31100000,2014
A Cure for Wellness,Fox,8100000,18500000,26600000,2017
The Great Beauty,Jan.,2900000,18500000,21400000,2013
Detective K: Secret of the Living Dead,WGUSA,104000,18500000,18604000,2018
[Rec] 2,Magn.,27800,18500000,18527800,2010
Peppermint,STX,35400000,18400000,53800000,2018
The Brothers Grimsby,Sony,6900000,18300000,25200000,2016
Gifted,FoxS,24800000,18200000,43000000,2017
Self/Less,Focus,12300000,18200000,30500000,2015
Drive Angry,Sum.,10700000,18200000,28900000,2011
Mr. Turner,SPC,4000000,18200000,22200000,2014
Buried,LGF,1000000,18100000,19100000,2010
Sisters,Uni.,87000000,18000000,105000000,2015
The Campaign,WB,86900000,18000000,104900000,2012
Far from the Madding Crowd,FoxS,12200000,18000000,30200000,2015
The Sapphires,Wein.,2500000,18000000,20500000,2013
Lockout,FD,14300000,17900000,32200000,2012
The Railway Man,Wein.,4400000,17900000,22300000,2014
She's Out of My League,Par.,32000000,17800000,49800000,2010
Midnight Sun,Global Road,9600000,17800000,27400000,2018
Escape From Planet Earth,Wein.,57000000,17600000,74600000,2013
Mars Needs Moms,BV,21400000,17600000,39000000,2011
Spring Breakers,A24,14100000,17600000,31700000,2013
Hitchcock,FoxS,6000000,17600000,23600000,2012
The Way Back,NM,2700000,17600000,20300000,2011
Soul Kitchen,IFC,277000,17600000,17877000,2010
Regression,W/Dim.,55000,17600000,17655000,2016
Norwegian Wood,RF,13000,17600000,17613000,2012
Machete,Fox,26600000,17500000,44100000,2010
Mao's Last Dancer,Gold.,4800000,17500000,22300000,2010
Road to Ninja - Naruto the Movie,Elev.,43200,17300000,17343200,2014
Dream House,Uni.,21300000,17200000,38500000,2011
Brothers: Blood Against Blood,FIP,614000,17200000,17814000,2015
Hot Pursuit,WB (NL),34600000,17100000,51700000,2015
The Lincoln Lawyer,LGF,58000000,17000000,75000000,2011
The Boy Next Door,Uni.,35400000,17000000,52400000,2015
Charlie St. Cloud,Uni.,31200000,17000000,48200000,2010
The Children Act,A24,548000,17000000,17548000,2018
Entourage,WB,32400000,16900000,49300000,2015
Captain Fantastic,BST,5900000,16900000,22800000,2016
The Heir Apparent: Largo Winch,MBox,10400,16900000,16910400,2011
13 Assassins,Magn.,803000,16800000,17603000,2011
The Call,TriS,51900000,16700000,68600000,2013
Steve Jobs,Uni.,17800000,16700000,34500000,2015
The Beguiled (2017),Focus,10700000,16700000,27400000,2017
Easy A,SGem,58400000,16600000,75000000,2010
13 Hours: The Secret Soldiers of Benghazi,Par.,52900000,16600000,69500000,2016
The Death of Stalin,IFC,8000000,16600000,24600000,2018
Silence (2016),Par.,7100000,16600000,23700000,2016
Mother (2010),Magn.,552000,16600000,17152000,2010
The Last Godfather,RAtt.,164000,16600000,16764000,2011
Monte Carlo,Fox,23200000,16500000,39700000,2011
Another Year,SPC,3200000,16500000,19700000,2010
My Way (2012),CJ,70200,16500000,16570200,2012
Tomorrow When the War Began,Free,4900,16500000,16504900,2012
What's Your Number?,Fox,14000000,16399999,30399999,2011
Lawless,Wein.,37400000,16300000,53700000,2012
Oculus,Rela.,27700000,16300000,44000000,2014
"Monsters, Inc. (3D)",BV,34000000,16200000,50200000,2012
Beyond Outrage,Magn.,3900,16200000,16203900,2014
Scott Pilgrim vs. the World,Uni.,31500000,16100000,47600000,2010
Love the Coopers,LGF,26300000,16100000,42400000,2015
Love & Mercy,RAtt.,12600000,16100000,28700000,2015
Burn the Stage: The Movie,Trafalgar,4200000,16100000,20300000,2018
Tammy,WB (NL),84500000,16000000,100500000,2014
Neerja,FIP,1600000,16000000,17600000,2016
The Nutcracker in 3D,Free,195000,16000000,16195000,2010
Mother's Day,ORF,32500000,15900000,48400000,2016
Dolphin Tale 2,WB,42000000,15800000,57800000,2014
A Prophet (Un prophète),SPC,2100000,15800000,17900000,2010
The Crazies,Over.,39100000,15700000,54800000,2010
Snowden,ORF,21600000,15700000,37300000,2016
The Boss,Uni.,63300000,15600000,78900000,2016
Born to Be Wild (IMAX),WB,25900000,15600000,41500000,2011
The Perks of Being a Wallflower,LG/S,17700000,15600000,33300000,2012
We Have a Pope,IFC,548000,15600000,16148000,2012
African Cats,BV,15400000,15400000,30800000,2011
The Wedding Ringer,SGem,64500000,15300000,79800000,2015
Beastly,CBS,27900000,15300000,43200000,2011
The Witch,A24,25100000,15300000,40400000,2016
The Gift (2015),STX,43800000,15200000,59000000,2015
Delhi Belly,UTV,1500000,15200000,16700000,2011
Macbeth (2015),Wein.,1100000,15200000,16300000,2015
Billy and Buddy,Distrib.,900,15200000,15200900,2013
Grudge Match,WB,29800000,15100000,44900000,2013
Micmacs,SPC,1300000,15100000,16400000,2010
Snatched,Fox,45900000,15000000,60900000,2017
Keeping Up with the Joneses,Fox,14900000,15000000,29900000,2016
Case 39,ParV,13300000,14900000,28200000,2010
I Hate Luv Storys,UTV,848000,14900000,15748000,2010
Ip Man 2: Legend of the Grandmaster,Vari.,206000,14900000,15106000,2011
Big Eyes,Wein.,14500000,14800000,29300000,2014
The Take (2016),HTR,50300,14800000,14850300,2016
Selma,Par.,52100000,14700000,66800000,2014
The Secret in their Eyes (2015),STX,20200000,14700000,34900000,2015
Wild (2014),FoxS,37900000,14600000,52500000,2014
Fair Game (2010),Sum.,9500000,14600000,24100000,2010
The Housemaid,IFC,158000,14600000,14758000,2011
Sword Master,WGUSA,75500,14600000,14675500,2016
Desert Flower,NGE,44300,14600000,14644300,2011
Chef,ORF,31400000,14500000,45900000,2014
The Debt,Focus,31200000,14500000,45700000,2011
Ricki and the Flash,TriS,26800000,14500000,41300000,2015
The Company You Keep,SPC,5100000,14500000,19600000,2013
Wonder Wheel,Amazon,1400000,14500000,15900000,2017
Headhunters,Magn.,1200000,14500000,15700000,2012
Beauty and the Beast (3D),BV,47600000,14400000,62000000,2012
That Awkward Moment,Focus,26100000,14400000,40500000,2014
Haywire,Rela.,18900000,14400000,33300000,2012
Hot Tub Time Machine,MGM,50300000,14300000,64600000,2010
The Guard,SPC,5400000,14200000,19600000,2011
Margin Call,RAtt.,5400000,14200000,19600000,2011
Concussion (2015),Sony,34500000,14100000,48600000,2015
The Place Beyond the Pines,Focus,21400000,14100000,35500000,2013
The Pyramid,Fox,2800000,14100000,16900000,2014
Bad Times At The El Royale,Fox,17800000,14000000,31800000,2018
The Kids Are All Right,Focus,20800000,13900000,34700000,2010
Dinner for Schmucks,P/DW,73000000,13800000,86800000,2010
Shame,FoxS,3900000,13800000,17700000,2011
War of the Buttons (2012),Wein.,47800,13800000,13847800,2012
On the Basis of Sex,Focus,24600000,13600000,38200000,2018
The Raven,Rela.,16000000,13600000,29600000,2012
My Afternoons with Margueritte,Cohen,667000,13600000,14267000,2011
The Big Sick,LGF,42900000,13500000,56400000,2017
The Gunman,ORF,10700000,13500000,24200000,2015
Red Lights (2012),MNE,52600,13500000,13552600,2012
The Light Between Oceans,BV,12500000,13400000,25900000,2016
Sarah's Key,Wein.,7700000,13400000,21100000,2011
The Bling Ring,A24,5800000,13300000,19100000,2013
Calvary,FoxS,3600000,13300000,16900000,2014
Trouble with the Curve,WB,35800000,13200000,49000000,2012
Amour,SPC,6700000,13100000,19800000,2012
The Cold Light of Day,LG/S,3800000,13100000,16900000,2012
The Two Faces of January,Magn.,507000,13000000,13507000,2014
Texas Chainsaw 3D,LGF,34300000,12900000,47200000,2013
Don't Be Afraid of the Dark,FD,24000000,12900000,36900000,2011
Melancholia,Magn.,3000000,12900000,15900000,2011
Life of the Party,WB (NL),53100000,12800000,65900000,2018
A Separation,SPC,7100000,12800000,19900000,2011
Kapoor & Sons - Since 1921,FIP,2600000,12800000,15400000,2016
Arthur (2011),WB,33000000,12700000,45700000,2011
House at the End of The Street,Rela.,31600000,12700000,44300000,2012
American Ultra,LGF,14400000,12700000,27100000,2015
The 33,WB,12200000,12700000,24900000,2015
The Lazarus Effect,Rela.,25800000,12600000,38400000,2015
Puella Magi Madoka Magica the Movie: Rebellion,Elev.,376000,12600000,12976000,2013
I Saw the Devil,Magn.,129000,12600000,12729000,2011
Faster,CBS,23200000,12400000,35600000,2010
Scouts Guide to the Zombie Apocalypse,Par.,3700000,12400000,16100000,2015
Klown,Drft.,68800,12400000,12468800,2012
Live By Night,WB,10400000,12300000,22700000,2016
Marrowbone,Magn.,1400,12300000,12301400,2018
Miracles from Heaven,TriS,61700000,12200000,73900000,2016
Before I Go To Sleep,CE,3200000,12200000,15400000,2014
Somewhere,Focus,1800000,12200000,14000000,2010
The Well-Digger's Daughter,KL,386000,12200000,12586000,2012
Sleepless,ORF,20800000,12100000,32900000,2017
Mubarakan,Sony,759000,12100000,12859000,2017
Let Me In,Over.,12100000,12000000,24100000,2010
The Hedgehog,NeoC,708000,12000000,12708000,2011
Gainsbourg: A Heroic Life,MBox,233000,12000000,12233000,2011
The Master,Wein.,16399999,11900000,28299999,2012
Seeking Justice,Anch.,412000,11900000,12312000,2012
The Warring States,CL,69000,11800000,11869000,2011
Diary of a Wimpy Kid,Fox,64000000,11700000,75700000,2010
Footloose (2011),Par.,51800000,11700000,63500000,2011
Child 44,LG/S,1200000,11700000,12900000,2015
What Women Want (Wo Zhi Nu Run Xin),CL,124000,11700000,11824000,2011
Mr. Holmes,RAtt.,17700000,11600000,29300000,2015
Blackhat,Uni.,8000000,11600000,19600000,2015
This Must Be the Place,Wein.,144000,11600000,11744000,2012
Earth: One Amazing Day,BBC,81300,11600000,11681300,2017
Bachelorette,RTWC,448000,11500000,11948000,2012
In the House,Cohen,390000,11500000,11890000,2013
Looking for Eric,IFC,55800,11500000,11555800,2010
Ex Machina,A24,25400000,11400000,36800000,2015
Tamara Drewe,SPC,560000,11400000,11960000,2010
Back to Burgundy,MBox,258000,11400000,11658000,2018
Act of Valor,Rela.,70000000,11300000,81300000,2012
Takers,SGem,57700000,11300000,69000000,2010
Endless Love (2014),Uni.,23400000,11300000,34700000,2014
The Founder,Wein.,12800000,11300000,24100000,2017
Suffragette,Focus,4700000,11300000,16000000,2015
The Other Side of the Door,Fox,3000000,11300000,14300000,2016
Made in Dagenham,SPC,1100000,11300000,12400000,2010
Born in China,BV,13900000,11200000,25100000,2017
Haute Cuisine,Wein.,218000,11200000,11418000,2013
Padmaavat,VPD,11800000,11100000,22900000,2018
Pina,IFC,3500000,11100000,14600000,2011
Raajneeti,UTV,1500000,11100000,12600000,2010
The Forest,Focus,26600000,11000000,37600000,2016
Mud,RAtt.,21600000,11000000,32600000,2013
Hell or High Water,LGF,27000000,10900000,37900000,2016
Project Almanac,Par.,22300000,10900000,33200000,2015
Anonymous,Sony,4500000,10900000,15400000,2011
102 Not Out,Sony,1300000,10900000,12200000,2018
Premium Rush,Sony,20300000,10800000,31100000,2012
The Rum Diary,FD,13100000,10800000,23900000,2011
One Chance,Wein.,101000,10800000,10901000,2014
Cop Out,WB,44900000,10700000,55600000,2010
St. Vincent,Wein.,44100000,10700000,54800000,2014
The Lost City of Z,BST,8600000,10700000,19300000,2017
Bicycling with Moliere,Strand,59900,10700000,10759900,2014
City of Life and Death,Kino,123000,10600000,10723000,2011
Golden Slumber,CJ,94500,10600000,10694500,2018
The Three Stooges,Fox,44300000,10500000,54800000,2012
One For the Money,LGF,26400000,10500000,36900000,2012
The Thing (2011),Uni.,16900000,10500000,27400000,2011
Triple 9,ORF,12600000,10500000,23100000,2016
Fifty Shades of Black,ORF,11700000,10500000,22200000,2016
Wetlands,Strand,59500,10500000,10559500,2014
When in Rome,BV,32700000,10400000,43100000,2010
Sing Street,Wein.,3200000,10400000,13600000,2016
Stoker,FoxS,1700000,10400000,12100000,2013
I'm So Excited,SPC,1400000,10400000,11800000,2013
And So It Goes,CE,15200000,10200000,25400000,2014
Legends of Oz: Dorothy's Return,CE,8500000,10200000,18700000,2014
Rec 3: Genesis,Magn.,9600,10100000,10109600,2012
Gladiators of Rome,VPD,8200,10100000,10108200,2014
Nebraska,Par.,17700000,10000000,27700000,2013
The Sisters Brothers,Annapurna,3100000,10000000,13100000,2018
Snow Flower and the Secret Fan,FoxS,1300000,10000000,11300000,2011
Kung Fu Killer,WGUSA,130000,10000000,10130000,2015
Heaven is for Real,TriS,91400000,9900000,101300000,2014
Holmes and Watson,Sony,30600000,9900000,40500000,2018
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000,9900000,16000000,2010
A United Kingdom,FoxS,3900000,9900000,13800000,2017
The Bookshop,Greenwich,1600000,9900000,11500000,2018
Only God Forgives,RTWC,779000,9900000,10679000,2013
Le Havre,Jan.,612000,9900000,10512000,2011
Splice,WB,17000000,9800000,26800000,2010
While We're Young,A24,7600000,9700000,17300000,2015
Fading Gigolo,MNE,3800000,9600000,13400000,2014
Alan Partridge: The Movie,Magn.,153000,9600000,9753000,2014
The Big Bad Fox and Other Tales,GK,35800,9600000,9635800,2018
Trespass (2011),MNE,24100,9600000,9624100,2011
The DUFF,LGF,34000000,9500000,43500000,2015
Nymphomaniac: Volume I,Magn.,786000,9500000,10286000,2014
A Little Chaos,FCW,558000,9500000,10058000,2015
Mood Indigo,Drft.,303000,9500000,9803000,2014
A Beautiful Planet,Imax,15500000,9400000,24900000,2016
Warrior,LGF,13700000,9400000,23100000,2011
The Beatles: Eight Days a Week - The Touring Years,Abr.,2900000,9400000,12300000,2016
The Night Before,Sony,43000000,9300000,52300000,2015
Brooklyn's Finest,Over.,27200000,9300000,36500000,2010
The Quiet Ones,LGF,8500000,9300000,17800000,2014
The Past,SPC,1300000,9300000,10600000,2013
The Babadook,IFC,964000,9300000,10264000,2014
The Young & Prodigious T.S. Spivet,Wein.,174000,9300000,9474000,2015
Risen,Sony,36900000,9200000,46100000,2016
The Best of Me,Rela.,26800000,9200000,36000000,2014
Delicacy,Cohen,499000,9200000,9699000,2012
Shanghai,Wein.,46400,9200000,9246400,2015
To the Arctic (IMAX),WB,14600000,9100000,23700000,2012
Dark Skies,W/Dim.,17400000,9000000,26400000,2013
Fist Fight,WB (NL),32200000,8900000,41100000,2017
Truman,FR,211000,8800000,9011000,2017
Alex Cross,LG/S,25900000,8700000,34600000,2012
The Disaster Artist,A24,21100000,8700000,29800000,2017
Beautiful Boy (2018),Amazon,7600000,8700000,16300000,2018
Peepli Live,UTV,758000,8700000,9458000,2010
Mid-August Lunch,Zeit.,675000,8700000,9375000,2010
Winter in Wartime,SPC,543000,8700000,9243000,2011
The House,WB (NL),25600000,8600000,34200000,2017
The Zookeeper's Wife,Focus,17600000,8600000,26200000,2017
The Wife,SPC,9600000,8600000,18200000,2018
Chloe,SPC,3100000,8600000,11700000,2010
In a Better World,SPC,1000000,8600000,9600000,2011
Beginners,Focus,5800000,8500000,14300000,2011
Harry Brown,Gold.,1800000,8500000,10300000,2010
Point Blank,Magn.,708000,8500000,9208000,2011
The Man Who Knew Infinity,IFC,3900000,8400000,12300000,2016
Love is All You Need,SPC,1600000,8400000,10000000,2013
Boy (2012),PalUni,256000,8400000,8656000,2012
Outrage (2011),Magn.,44700,8400000,8444700,2011
Beasts of the Southern Wild,FoxS,12800000,8300000,21100000,2012
Filth,Magn.,34400,8300000,8334400,2014
Space Dogs 3D,EpicPics,14400,8300000,8314400,2012
CHiPs,WB,18600000,8199999,26799999,2017
Easy Money (2012),Wein.,206000,8199999,8405999,2012
Bel Ami,Magn.,120000,8199999,8319999,2012
Son of God,Fox,59700000,8100000,67800000,2014
Father Figures,WB,17500000,8100000,25600000,2017
Piranha 3DD,W/Dim.,377000,8100000,8477000,2012
A Walk in the Woods,BG,29500000,8000000,37500000,2015
On the Road,IFC,744000,8000000,8744000,2012
Condorito: La Pelicula,LGF,448000,8000000,8448000,2018
Venus in Fur,IFC,374000,8000000,8374000,2014
Iron Sky,EOne,122000,8000000,8122000,2012
Upside Down,MNE,105000,8000000,8105000,2013
Apollo 18,W/Dim.,17700000,7900000,25600000,2011
The Drop,FoxS,10700000,7900000,18600000,2014
Saving Private Perez,LGF,1400000,7900000,9300000,2011
My King (Mon roi),FM,54100,7900000,7954100,2016
Shaandaar,FIP,522000,7800000,8322000,2015
Pele: Birth of a Legend,IFC,57000,7800000,7857000,2016
Enough Said,FoxS,17600000,7700000,25300000,2013
Battle of the Year,SGem,8900000,7700000,16600000,2013
Gold,Wein.,7200000,7700000,14900000,2017
Stone,Over.,1800000,7700000,9500000,2010
Hysteria,SPC,1800000,7700000,9500000,2012
Amityville: The Awakening,W/Dim.,700,7700000,7700700,2017
The Eagle,Focus,19500000,7600000,27100000,2011
Hardcore Henry,STX,9300000,7600000,16900000,2016
Vampire Academy,Wein.,7800000,7600000,15400000,2014
Our Kind of Traitor,RAtt.,3200000,7600000,10800000,2016
Last Night,Trib.,99000,7600000,7699000,2011
The November Man,Rela.,25000000,7500000,32500000,2014
We Are Your Friends,WB,3600000,7500000,11100000,2015
Katy Perry: Part of Me,Par.,25300000,7400000,32700000,2012
Only The Brave,Sony,18300000,7400000,25700000,2017
All Is Lost,RAtt.,6300000,7400000,13700000,2013
Heroine,UTV,599000,7400000,7999000,2012
Winter's Bone,RAtt.,6500000,7300000,13800000,2010
Return of the Hero,Distrib.,37100,7300000,7337100,2018
Dead Man Down,FD,10900000,7200000,18100000,2013
All Together,KL,43200,7200000,7243200,2012
A Long Way Down,Magn.,13300,7200000,7213300,2014
End of Watch,ORF,41000000,7100000,48100000,2012
Hell Fest,LGF,11100000,7100000,18200000,2018
Finding Fanny,FIP,616000,7100000,7716000,2014
Chinese Puzzle,Cohen,339000,7100000,7439000,2014
My Worst Nightmare,Strand,22000,7100000,7122000,2012
This is Where I Leave You,WB,34300000,7000000,41300000,2014
Sabotage (2014),ORF,10500000,7000000,17500000,2014
Machete Kills,ORF,8000000,7000000,15000000,2013
Never Let Me Go,FoxS,2400000,7000000,9400000,2010
Jessabelle,LGF,,7000000,7000000,2014
Labor Day,Par.,13400000,6900000,20300000,2014
The Space Between Us,STX,7900000,6900000,14800000,2017
The Last Station,SPC,6600000,6900000,13500000,2010
The Happytime Murders,STX,20700000,6800000,27500000,2018
Glee The 3D Concert Movie,Fox,11900000,6800000,18700000,2011
Hoodwinked Too! Hood vs. Evil,Wein.,10100000,6800000,16900000,2011
Fences,Par.,57700000,6700000,64400000,2016
Leap Year,Uni.,25900000,6700000,32600000,2010
Viceroy's House,IFC,1100000,6700000,7800000,2017
The Angels' Share,IFC,347000,6700000,7047000,2013
Centurion,Magn.,124000,6700000,6824000,2010
A Letter to Momo,GK,71700,6700000,6771700,2014
A Haunted House 2,ORF,17300000,6600000,23900000,2014
Young Adult,Par.,16300000,6600000,22900000,2011
Inherent Vice,WB,8100000,6600000,14700000,2014
Unsane,BST,7700000,6600000,14300000,2018
Ruby Sparks,FoxS,2500000,6600000,9100000,2012
Pope Francis - A Man of His Word,Focus,2000000,6600000,8600000,2018
Senna,PDA,1600000,6600000,8200000,2011
Journey to the South Pacific,Imax,7600000,6500000,14100000,2013
My Cousin Rachel,FoxS,2700000,6500000,9200000,2017
From the Land of the Moon,IFC,47700,6500000,6547700,2017
Earth to Echo,Rela.,38900000,6400000,45300000,2014
Gone,LG/S,11700000,6400000,18100000,2012
Unforgettable (2017),WB,11400000,6400000,17800000,2017
Paranoia,Rela.,7400000,6400000,13800000,2013
The Princess of Montpensier,IFC,352000,6400000,6752000,2011
Death at a Funeral (2010),SGem,42700000,6300000,49000000,2010
Nightcrawler,ORF,32400000,6300000,38700000,2014
You Again,BV,25700000,6300000,32000000,2010
Tully (2018),Focus,9400000,6300000,15700000,2018
Unfriended: Dark Web,BH Tilt,8900000,6300000,15200000,2018
A Most Violent Year,A24,5700000,6300000,12000000,2014
The Beaver,Sum.,971000,6300000,7271000,2011
The Sweeney,EOne,26700,6300000,6326700,2013
My Soul to Take,Uni.,14700000,6200000,20900000,2010
Shut In,EC,6900000,6200000,13100000,2016
Soorma,Sony,390000,6200000,6590000,2018
Sex and Zen 3D: Extreme Ecstasy,CL,153000,6200000,6353000,2011
Pride (2014),CBS,1400000,6100000,7500000,2014
The Duelist,Sony,13500,6100000,6113500,2016
Don Jon,Rela.,24500000,6000000,30500000,2013
Hotel Artemis,Global Road,6700000,6000000,12700000,2018
Gringo,STX,5000000,6000000,11000000,2018
A Royal Affair,Magn.,1500000,6000000,7500000,2012
The Autopsy of Jane Doe,IFC,10500,6000000,6010500,2016
French Gigolo (Cliente),IFC,3000,6000000,6003000,2014
Matru Ki Bijlee Ka Mandola,FIP,,6000000,6000000,2013
Chimpanzee,BV,29000000,5900000,34900000,2012
Race (2016),Focus,19200000,5900000,25100000,2016
I Am Love,Magn.,5000000,5900000,10900000,2010
Tulip Fever,Wein.,2500000,5900000,8400000,2017
Le Chef,Cohen,343000,5900000,6243000,2014
The Losers,WB,23600000,5800000,29400000,2010
Friends with Kids,RAtt.,7300000,5800000,13100000,2012
Declaration of War,IFC,59100,5800000,5859100,2012
If Beale Street Could Talk,Annapurna,14900000,5700000,20600000,2018
Left Behind (2014),Free,14000000,5700000,19700000,2014
Animal Kingdom,SPC,1000000,5700000,6700000,2010
The Red Turtle,SPC,922000,5700000,6622000,2017
11/11/11,Rocket,32800,5700000,5732800,2011
The Gambler,Par.,33700000,5600000,39300000,2014
Miss Sloane,EC,3500000,5600000,9100000,2016
Puella Magi Madoka Magica the Movie,Elev.,180000,5600000,5780000,2012
Young Goethe in Love,MBox,162000,5600000,5762000,2011
My Best Friend's Wedding (2016),Sony,78600,5600000,5678600,2016
"Paul, Apostle of Christ",Affirm,17600000,5500000,23100000,2018
Pride and Prejudice and Zombies,SGem,10900000,5500000,16400000,2016
A Bigger Splash,FoxS,2000000,5500000,7500000,2016
The Joneses,RAtt.,1500000,5500000,7000000,2010
The Warrior's Way,Rela.,5700000,5400000,11100000,2010
7 Days in Entebbe,Focus,3300000,5400000,8700000,2018
Suspiria,Amazon,2500000,5400000,7900000,2018
"Two Days, One Night",IFC,1400000,5400000,6800000,2014
It Comes At Night,A24,14000000,5300000,19300000,2017
The Fifth Estate,BV,3300000,5300000,8600000,2013
Unfinished Song,Wein.,1700000,5300000,7000000,2013
Cosmopolis,EOne,764000,5300000,6064000,2012
Even the Rain,Vita.,518000,5300000,5818000,2011
Populaire,Wein.,179000,5300000,5479000,2013
Broken Circle Breakdown,Trib.,175000,5300000,5475000,2013
Fists of Legend,CJ,134000,5300000,5434000,2013
Madame,Blue Fox,91000,5300000,5391000,2018
The Hate U Give,Fox,29700000,5200000,34900000,2018
Aloha,Sony,21100000,5200000,26300000,2015
Loving,Focus,7800000,5200000,13000000,2016
The Interview (2014),Sony,6100000,5200000,11300000,2014
Danny Collins,BST,5600000,5200000,10800000,2015
Qué León (What A Lion),Spanglish,2600000,5200000,7800000,2018
Blue Is the Warmest Color,IFC,2200000,5200000,7400000,2013
Mas Negro Que La Noche,LGF,870000,5200000,6070000,2014
The Tall Man,Imag.,,5200000,5200000,2012
Flying Monsters,NGE,5700000,5100000,10800000,2011
Nowhere Boy,Wein.,1500000,5100000,6600000,2010
Vincere,IFC,619000,5100000,5719000,2010
The French Minister,IFC,12000,5100000,5112000,2014
Think Like a Man Too,SGem,65200000,5000000,70200000,2014
Boy Erased,Focus,6800000,5000000,11800000,2018
Phillauri,FIP,468000,5000000,5468000,2017
Thank You (2011),UTV,464000,5000000,5464000,2011
Ok Jaanu,FIP,356000,5000000,5356000,2017
Mr. X,FIP,45000,5000000,5045000,2015
The Incredible Burt Wonderstone,WB (NL),22500000,4900000,27400000,2013
Morgan,Fox,3900000,4900000,8800000,2016
Serena,Magn.,176000,4900000,5076000,2015
Attack the Block,SGem,1000000,4800000,5800000,2011
Ernest & Celestine,GK,262000,4800000,5062000,2014
Trash,FCW,17500,4800000,4817500,2015
Force,FoxS,,4800000,4800000,2011
The Guilt Trip,Par.,37100000,4700000,41800000,2012
The Apparition,WB,4900000,4700000,9600000,2012
Mademoiselle Chambon,Lorb.,532000,4700000,5232000,2010
Breaking In (2018),Uni.,46800000,4600000,51400000,2018
Big Miracle,Uni.,20200000,4600000,24800000,2012
The Glass Castle,LGF,17300000,4600000,21900000,2017
Repo Men,Uni.,13800000,4600000,18400000,2010
Metallica Through the Never,PH,3400000,4600000,8000000,2013
Monsieur Lazhar (U.S.-only),MBox,2000000,4600000,6600000,2012
Vision,Zeit.,435000,4600000,5035000,2010
Men & Chicken,Drft.,30200,4600000,4630200,2016
London Boulevard,IFC,16100,4600000,4616100,2011
Think Like a Man,SGem,91500000,4500000,96000000,2012
The Sitter,Fox,30400000,4500000,34900000,2011
In Darkness,SPC,1000000,4500000,5500000,2012
The Love Punch,KE,267000,4500000,4767000,2014
Tucker & Dale Vs. Evil,Magn.,224000,4500000,4724000,2011
"Buen Dia, Ramon",FIP,154000,4500000,4654000,2015
Commitment,WGUSA,76500,4500000,4576500,2013
Youth in Revolt,W/Dim.,15300000,4400000,19700000,2010
Seven Psychopaths,CBS,15000000,4400000,19400000,2012
The Edge of Seventeen,STX,14400000,4400000,18800000,2016
What If (2014),CBS,3500000,4400000,7900000,2014
Disobedience,BST,3500000,4400000,7900000,2018
Tracks (2014),Wein.,510000,4400000,4910000,2014
Four Lions,Drft.,305000,4400000,4705000,2010
White Elephant,Strand,8900,4400000,4408900,2013
The Bye Bye Man,STX,22400000,4300000,26700000,2017
Out of the Furnace,Rela.,11300000,4300000,15600000,2013
Kin,LGF,5700000,4300000,10000000,2018
We Need to Talk About Kevin,Osci.,1700000,4300000,6000000,2011
